Funkcja celu,Podobienstwo
15040.0,100
15285.0,30
15285.0,30
15388.0,39
15469.0,37
15471.0,38
15518.0,34
15549.0,36
15567.0,35
15549.0,36
15724.0,43
15733.0,47
15549.0,36
15770.0,32
15825.0,29
15469.0,37
15567.0,35
15770.0,32
15471.0,38
15549.0,36
15388.0,39
15471.0,38
15978.0,41
15285.0,30
16043.0,28
15978.0,41
16097.0,25
15518.0,34
16155.0,33
16155.0,33
16155.0,33
15825.0,29
15471.0,38
15567.0,35
15388.0,39
15388.0,39
15978.0,41
15469.0,37
15567.0,35
15388.0,39
15469.0,37
16332.0,31
15469.0,37
15471.0,38
15518.0,34
15770.0,32
15770.0,32
15471.0,38
16357.0,40
15825.0,29
15567.0,35
15567.0,35
15549.0,36
16332.0,31
16332.0,31
16097.0,25
15518.0,34
15567.0,35
15770.0,32
15471.0,38
16155.0,33
15549.0,36
15469.0,37
16043.0,28
16043.0,28
15518.0,34
16357.0,40
15518.0,34
15567.0,35
16155.0,33
16484.0,27
15471.0,38
16507.0,24
16332.0,31
16357.0,40
15471.0,38
15469.0,37
16155.0,33
15770.0,32
16155.0,33
15549.0,36
15469.0,37
15471.0,38
15471.0,38
16155.0,33
16332.0,31
16155.0,33
15770.0,32
15567.0,35
15549.0,36
16097.0,25
15469.0,37
15770.0,32
15518.0,34
15518.0,34
15567.0,35
16332.0,31
15549.0,36
16332.0,31
16332.0,31
15567.0,35
16357.0,40
15770.0,32
15567.0,35
15770.0,32
16097.0,25
15285.0,30
16484.0,27
15825.0,29
15825.0,29
15567.0,35
16332.0,31
15388.0,39
16332.0,31
16332.0,31
15285.0,30
16332.0,31
15770.0,32
16155.0,33
15549.0,36
16332.0,31
16155.0,33
15825.0,29
15770.0,32
15549.0,36
16811.0,42
16814.0,26
16357.0,40
15549.0,36
16332.0,31
15549.0,36
16155.0,33
15285.0,30
15285.0,30
16332.0,31
15285.0,30
16332.0,31
15518.0,34
16484.0,27
16155.0,33
15518.0,34
15285.0,30
15469.0,37
15388.0,39
15978.0,41
16332.0,31
15518.0,34
16484.0,27
15825.0,29
16332.0,31
16097.0,25
16902.0,23
16043.0,28
15285.0,30
15518.0,34
15978.0,41
15825.0,29
15567.0,35
15471.0,38
16155.0,33
15549.0,36
16155.0,33
15471.0,38
16155.0,33
15825.0,29
16332.0,31
16043.0,28
15567.0,35
15567.0,35
15770.0,32
16484.0,27
15825.0,29
15518.0,34
16155.0,33
15770.0,32
15770.0,32
15549.0,36
16811.0,42
15549.0,36
15567.0,35
16043.0,28
15770.0,32
16155.0,33
15549.0,36
15518.0,34
15471.0,38
15469.0,37
15285.0,30
15567.0,35
15825.0,29
15567.0,35
16155.0,33
15825.0,29
15285.0,30
15285.0,30
16332.0,31
15978.0,41
16814.0,26
15825.0,29
15825.0,29
15285.0,30
15388.0,39
15567.0,35
15567.0,35
15469.0,37
15285.0,30
17090.0,44
15285.0,30
16155.0,33
16484.0,27
15469.0,37
16332.0,31
