Funkcja celu,Podobienstwo
14684.0,61
15422.0,63
15440.0,60
15422.0,63
15422.0,63
14684.0,61
14684.0,61
14684.0,61
15620.0,62
15620.0,62
15663.0,58
15440.0,60
14684.0,61
15620.0,62
15440.0,60
14684.0,61
15440.0,60
15808.0,59
15440.0,60
15440.0,60
15620.0,62
15998.0,56
15663.0,58
15620.0,62
14684.0,61
15620.0,62
15620.0,62
15620.0,62
15808.0,59
15440.0,60
15663.0,58
14684.0,61
15808.0,59
15440.0,60
15440.0,60
15620.0,62
14684.0,61
16263.0,57
14684.0,61
15440.0,60
14684.0,61
15808.0,59
15440.0,60
15440.0,60
15440.0,60
14684.0,61
15808.0,59
14684.0,61
15663.0,58
15808.0,59
15440.0,60
16263.0,57
15620.0,62
15440.0,60
15440.0,60
14684.0,61
15663.0,58
16263.0,57
15440.0,60
15440.0,60
15440.0,60
15808.0,59
15440.0,60
14684.0,61
15663.0,58
15620.0,62
14684.0,61
16263.0,57
15440.0,60
15440.0,60
15440.0,60
15808.0,59
15620.0,62
14684.0,61
15663.0,58
15620.0,62
15620.0,62
14684.0,61
15620.0,62
15440.0,60
15663.0,58
15808.0,59
15663.0,58
15808.0,59
15663.0,58
16263.0,57
15620.0,62
15440.0,60
15440.0,60
15808.0,59
14684.0,61
15998.0,56
14684.0,61
15620.0,62
14684.0,61
15440.0,60
15440.0,60
15440.0,60
15808.0,59
15440.0,60
15620.0,62
16263.0,57
15808.0,59
15440.0,60
15663.0,58
15440.0,60
15808.0,59
15440.0,60
15440.0,60
15440.0,60
15663.0,58
16263.0,57
15663.0,58
15620.0,62
15440.0,60
15440.0,60
15440.0,60
16263.0,57
15440.0,60
15620.0,62
15440.0,60
15663.0,58
15808.0,59
15808.0,59
15808.0,59
15663.0,58
15440.0,60
15808.0,59
15808.0,59
14684.0,61
15998.0,56
15808.0,59
15998.0,56
15440.0,60
15808.0,59
15663.0,58
15808.0,59
15620.0,62
15620.0,62
15422.0,63
15808.0,59
15620.0,62
15440.0,60
15440.0,60
15422.0,63
15808.0,59
15808.0,59
14684.0,61
14684.0,61
15620.0,62
14684.0,61
15422.0,63
15663.0,58
15663.0,58
15440.0,60
14684.0,61
15998.0,56
15808.0,59
15440.0,60
14684.0,61
15440.0,60
15998.0,56
15440.0,60
15620.0,62
15440.0,60
15663.0,58
14684.0,61
15440.0,60
15422.0,63
15620.0,62
15620.0,62
15620.0,62
14684.0,61
15440.0,60
15620.0,62
14684.0,61
15440.0,60
15440.0,60
14684.0,61
14684.0,61
15422.0,63
15620.0,62
15440.0,60
15808.0,59
15440.0,60
16263.0,57
15663.0,58
15440.0,60
15808.0,59
15440.0,60
15440.0,60
15808.0,59
15663.0,58
15440.0,60
15440.0,60
14684.0,61
14684.0,61
15808.0,59
14684.0,61
15808.0,59
14684.0,61
15440.0,60
15440.0,60
