Funkcja celu,Podobienstwo
14684.0,100
15422.0,68
15440.0,63
15484.0,66
15534.0,64
15534.0,64
15593.0,71
15602.0,65
15484.0,66
15648.0,73
15663.0,60
15534.0,64
15422.0,68
15648.0,73
15440.0,63
15795.0,61
15795.0,61
15648.0,73
15534.0,64
15440.0,63
15795.0,61
15998.0,55
15795.0,61
15422.0,68
15593.0,71
15534.0,64
16117.0,62
16141.0,69
15440.0,63
15484.0,66
16141.0,69
15534.0,64
16238.0,72
15795.0,61
16244.0,67
16141.0,69
16141.0,69
15663.0,60
15422.0,68
15648.0,73
16290.0,70
15663.0,60
16141.0,69
16141.0,69
16244.0,67
15422.0,68
15795.0,61
15440.0,63
15663.0,60
16345.0,74
15602.0,65
15795.0,61
15795.0,61
16244.0,67
15663.0,60
15663.0,60
16141.0,69
15998.0,55
15998.0,55
16408.0,57
16290.0,70
15440.0,63
15440.0,63
15534.0,64
15440.0,63
16290.0,70
15602.0,65
15602.0,65
16117.0,62
16345.0,74
16244.0,67
15663.0,60
16244.0,67
16117.0,62
15663.0,60
15440.0,63
16244.0,67
16345.0,74
16244.0,67
15484.0,66
16609.0,58
16290.0,70
15663.0,60
15422.0,68
16633.0,56
16117.0,62
16244.0,67
15440.0,63
15534.0,64
16117.0,62
15422.0,68
16609.0,58
15484.0,66
16244.0,67
15422.0,68
15534.0,64
16290.0,70
15795.0,61
15440.0,63
15534.0,64
15648.0,73
16117.0,62
15484.0,66
15440.0,63
16117.0,62
16141.0,69
15602.0,65
15663.0,60
15484.0,66
15663.0,60
16244.0,67
16141.0,69
15422.0,68
15484.0,66
16609.0,58
15534.0,64
16141.0,69
15795.0,61
15534.0,64
15422.0,68
16141.0,69
15484.0,66
15440.0,63
16244.0,67
15534.0,64
16141.0,69
15795.0,61
15534.0,64
16609.0,58
15534.0,64
16877.0,54
16633.0,56
16633.0,56
16244.0,67
15534.0,64
16609.0,58
15484.0,66
15593.0,71
16244.0,67
15534.0,64
16117.0,62
15593.0,71
15484.0,66
16244.0,67
15795.0,61
15663.0,60
15440.0,63
16290.0,70
16117.0,62
16244.0,67
16141.0,69
16238.0,72
16244.0,67
16117.0,62
15484.0,66
15484.0,66
16633.0,56
15440.0,63
16408.0,57
15484.0,66
15484.0,66
15663.0,60
16244.0,67
15484.0,66
15534.0,64
15440.0,63
15534.0,64
16290.0,70
16244.0,67
16244.0,67
17007.0,59
15484.0,66
15663.0,60
15795.0,61
16141.0,69
16117.0,62
15534.0,64
16141.0,69
15422.0,68
15602.0,65
16244.0,67
16141.0,69
16141.0,69
15422.0,68
15534.0,64
16609.0,58
16117.0,62
15602.0,65
15534.0,64
15440.0,63
15534.0,64
15602.0,65
15534.0,64
15795.0,61
16141.0,69
15602.0,65
16117.0,62
16244.0,67
16290.0,70
15602.0,65
15534.0,64
16117.0,62
15440.0,63
15602.0,65
16633.0,56
15795.0,61
16141.0,69
16290.0,70
16244.0,67
15534.0,64
15534.0,64
15795.0,61
15795.0,61
16345.0,74
17007.0,59
15484.0,66
16117.0,62
15998.0,55
15602.0,65
15422.0,68
15484.0,66
16244.0,67
16117.0,62
16244.0,67
16244.0,67
15663.0,60
15534.0,64
16117.0,62
15602.0,65
15795.0,61
16609.0,58
16244.0,67
16408.0,57
15484.0,66
15663.0,60
16877.0,54
16117.0,62
15534.0,64
16609.0,58
17007.0,59
15440.0,63
15663.0,60
15534.0,64
15440.0,63
15795.0,61
15422.0,68
16609.0,58
16117.0,62
15602.0,65
15534.0,64
16244.0,67
15602.0,65
15440.0,63
15534.0,64
15440.0,63
16117.0,62
15440.0,63
16408.0,57
15795.0,61
16117.0,62
17007.0,59
16609.0,58
15440.0,63
16141.0,69
15602.0,65
16633.0,56
17007.0,59
15534.0,64
15602.0,65
15440.0,63
15484.0,66
15663.0,60
15602.0,65
16609.0,58
15795.0,61
16244.0,67
15484.0,66
15998.0,55
16408.0,57
16244.0,67
15440.0,63
16408.0,57
16244.0,67
15602.0,65
15534.0,64
15663.0,60
17007.0,59
15663.0,60
16238.0,72
15440.0,63
15440.0,63
15593.0,71
15422.0,68
15795.0,61
15663.0,60
15663.0,60
15663.0,60
15534.0,64
16609.0,58
15534.0,64
16408.0,57
15602.0,65
15534.0,64
16877.0,54
15440.0,63
15602.0,65
17007.0,59
16117.0,62
15998.0,55
16117.0,62
16609.0,58
16609.0,58
15795.0,61
15998.0,55
15663.0,60
16244.0,67
17436.0,76
16141.0,69
16609.0,58
15534.0,64
15998.0,55
15484.0,66
15484.0,66
15602.0,65
15663.0,60
15602.0,65
